,Date,Ridership
0,201101,21082553
1,201102,21228262
2,201103,26170157
3,201104,25656797
4,201105,24342603
5,201106,26563303
6,201107,25695119
7,201108,24335209
8,201109,23787505
9,201110,24407944
10,201111,22654619
11,201112,21691785
12,201201,21803627
13,201202,21932092
14,201203,25948220
15,201204,25066331
16,201205,25161639
17,201206,25709701
18,201207,25001942
19,201208,23813095
20,201209,21722649
21,201210,22697072
22,201211,21156527
23,201212,19116398
24,201301,22644106
25,201302,20535443
26,201303,23377941
27,201304,25793255
28,201305,24177214
29,201306,23464852
30,201307,25430329
31,201308,23533749
32,201309,22138747
33,201310,22568599
34,201311,20535975
35,201312,19205871
36,201401,19954729
37,201402,18890899
38,201403,21971882
39,201404,25549742
40,201405,23686634
41,201406,23936655
42,201407,25357158
43,201408,23132836
44,201409,22917150
45,201410,24582682
46,201411,20065907
47,201412,20468341
48,201501,19924742
49,201502,18348425
50,201503,22574898
51,201504,25054379
52,201505,22609113
53,201506,24206396
54,201507,24786276
55,201508,21155750
56,201509,20952910
57,201510,22321780
58,201511,18881833
59,201512,19188299
60,201601,16748182
61,201602,19236884
62,201603,22407991
63,201604,21979083
64,201605,20448297
65,201606,21065926
66,201607,19414717
67,201608,19265960
68,201609,19060999
69,201610,19305767
70,201611,17079887
71,201612,16532625
72,201701,18349147
73,201702,16922920
74,201703,20269488
75,201704,19842700
76,201705,19978369
77,201706,21030458
78,201707,19522119
79,201708,19645882
80,201709,18560071
81,201710,20248022
82,201711,17932152
83,201712,15908483
