Date,Bus,Metro,Taxi,Uber
2011-01-01,,21082553.0,,
2011-02-01,,21228262.0,,
2011-03-01,,26170157.0,,
2011-04-01,,25656797.0,,
2011-05-01,,24342603.0,,
2011-06-01,,26563303.0,,
2011-07-01,,25695119.0,,
2011-08-01,,24335209.0,,
2011-09-01,,23787505.0,,
2011-10-01,,24407944.0,,
2011-11-01,,22654619.0,,
2011-12-01,,21691785.0,,
2012-01-01,,21803627.0,,
2012-02-01,,21932092.0,,
2012-03-01,,25948220.0,,
2012-04-01,,25066331.0,,
2012-05-01,,25161639.0,,
2012-06-01,,25709701.0,,
2012-07-01,,25001942.0,,
2012-08-01,,23813095.0,,
2012-09-01,,21722649.0,,
2012-10-01,,22697072.0,,
2012-11-01,,21156527.0,,
2012-12-01,,19116398.0,,
2013-01-01,,22644106.0,,
2013-02-01,,20535443.0,,
2013-03-01,,23377941.0,,
2013-04-01,,25793255.0,,
2013-05-01,,24177214.0,,
2013-06-01,,23464852.0,,
2013-07-01,3068599.0,25430329.0,,
2013-08-01,3091873.0,23533749.0,,
2013-09-01,3252460.0,22138747.0,,
2013-10-01,3250529.0,22568599.0,,
2013-11-01,3069970.0,20535975.0,,
2013-12-01,2834365.0,19205871.0,,
2014-01-01,2886449.0,19954729.0,,
2014-02-01,3134342.0,18890899.0,,
2014-03-01,3075961.0,21971882.0,,
2014-04-01,3174311.0,25549742.0,,
2014-05-01,3210112.0,23686634.0,,
2014-06-01,3128202.0,23936655.0,,
2014-07-01,3133695.0,25357158.0,,
2014-08-01,3122562.0,23132836.0,,
2014-09-01,3333832.0,22917150.0,,
2014-10-01,3244716.0,24582682.0,,
2014-11-01,3128540.0,20065907.0,,
2014-12-01,2837569.0,20468341.0,,
2015-01-01,2830531.0,19924742.0,,
2015-02-01,3146452.0,18348425.0,,
2015-03-01,3121013.0,22574898.0,,
2015-04-01,3100048.0,25054379.0,,
2015-05-01,3153744.0,22609113.0,1397101.0,
2015-06-01,3129651.0,24206396.0,1470465.0,
2015-07-01,3178547.0,24786276.0,1401791.0,
2015-08-01,3030282.0,21155750.0,1129706.0,
2015-09-01,3197939.0,20952910.0,1308444.0,
2015-10-01,3150032.0,22321780.0,1487132.0,
2015-11-01,2946431.0,18881833.0,993501.0,
2015-12-01,2757248.0,19188299.0,1081725.0,
2016-01-01,2775029.0,16748182.0,922337.0,4336528.0
2016-02-01,2930430.0,19236884.0,1194697.0,4105444.0
2016-03-01,2997932.0,22407991.0,1404638.0,4731468.0
2016-04-01,3020480.0,21979083.0,1369881.0,4583160.0
2016-05-01,3074190.0,20448297.0,1323154.0,4918088.0
2016-06-01,2984245.0,21065926.0,1282650.0,5000250.0
2016-07-01,3078417.0,19414717.0,1109117.0,5246130.0
2016-08-01,2999249.0,19265960.0,949649.0,5359621.0
2016-09-01,3140778.0,19060999.0,1203387.0,5288520.0
2016-10-01,3091769.0,19305767.0,1027035.0,5606133.0
2016-11-01,2952762.0,17079887.0,1011672.0,5221920.0
2016-12-01,2729882.0,16532625.0,898992.0,5393783.0
2017-01-01,2530827.0,18349147.0,901806.0,5385785.0
2017-02-01,2884582.0,16922920.0,949577.0,4864412.0
2017-03-01,2956426.0,20269488.0,1237620.0,5541002.0
2017-04-01,2954718.0,19842700.0,1185858.0,5263590.0
2017-05-01,2943902.0,19978369.0,1188943.0,5512854.0
2017-06-01,2929275.0,21030458.0,1182525.0,5367060.0
2017-07-01,2852099.0,19522119.0,993833.0,5590261.0
2017-08-01,2850091.0,19645882.0,,5693274.0
2017-09-01,2956764.0,18560071.0,,5651610.0
2017-10-01,2954276.0,20248022.0,,5918489.0
2017-11-01,2853227.0,17932152.0,,5692200.0
2017-12-01,2575752.0,15908483.0,,6027361.0
2018-01-01,2781485.0,,,5991711.0
2018-02-01,2815112.0,,,5604060.0
2018-03-01,2798797.0,,,6475063.0
2018-04-01,2749819.0,,,
2018-05-01,2790205.0,,,
2018-06-01,2696224.0,,,
