,0,1,2,3
ROTP_x_2,-15260.047758930603,0.0415817173003539,-2.8324530808392363e-08,
RailReliability_x_2,1066577285.1672709,-2918.4316145397656,0.0019964364489634327,
MetroAccessOTP_x_2,-5930.023754852357,0.016139978163568474,-1.098049231328857e-08,
EscalatorAvail_x_2,-12476.111573508066,0.033896408836772716,-2.3021588367226085e-08,
ElevatorAvail_x_2,-28.61332580812069,7.833497219570435e-05,-5.18230117091491e-11,
TotalInjuries_x_2,-32555.87164736611,0.08842776884035347,-6.004279324632142e-08,
Crime_x_2,-289938.7276730978,0.7892631099742872,-5.371163857846936e-07,
Metro_x_2,-405301676608.8428,1104677.4922200355,-0.7526738754447176,
ROTP_x_3,-46531890.25729766,189.80220462363565,-0.0002580655904659236,1.1695997013488945e-10
RailReliability_x_3,-5463743393678.392,22290307.442304093,-30.312422673670138,1.37405484472448e-05
MetroAccessOTP_x_3,-3107047.4555744193,12.666883871626117,-1.7213513432594098e-05,7.797353346030372e-12
EscalatorAvail_x_3,-4510130.452301312,18.381693432596684,-2.4972430519641984e-05,1.130876237162925e-11
ElevatorAvail_x_3,-1094345.355722624,4.464250089431523,-6.0704507105303145e-06,2.751516026253263e-12
TotalInjuries_x_3,59598935.51427419,-243.17315199850918,0.00033072804163038915,-1.499355697129942e-10
Crime_x_3,-321333266.8336647,1310.4581201808796,-0.0017814301487919526,8.072213721875215e-10
Metro_x_3,18326612288838.6,-75310566.82577865,103.15708578695295,-4.709894263837075e-05
